,crash_type,report_made,date_time,case_number,district,location,road_type,ticket_arrest,citation_to,biker_gender,biker_city_of_residence,biker_zip_code,driver_gender,driver_city_res,driver_zip_code,injury_to_biker,level_of_injury_to_biker,biker_to_hospital,location_1,count,:@computed_region_jitf_9zyt,:@computed_region_dysk_fpxp,ped_age,ped_gender,ped_city_res,ped_zip_code,injury_to_pedestrian,level_of_injury_to_ped,pedestrian_to_hospital,lanes_of_traffic,signal_present,speed_limit,synopsis,driver_age,biker_age
502,Ped2,,2018-05-05T16:34:01.000,18-093839,,Jefferson & Edgcumbe Rd,,,,,,,,,,,,,"{'latitude': '44.93042752', 'longitude': '-93.14985363'}",1,5,6,3,Female,St. Paul,55104,Yes,Possible Injury,Yes,,,,2nd pedestrian from this crash,,
503,Pedestrian,Yes,2016-11-14T19:12:00.000,16-234712,Western District,University Ave W & Simpson Street,County - State Aid Highway,Yes,Driver,,,,Male,Prairie Farm,54762,,,,"{'latitude': '44.955739', 'longitude': '-93.163666'}",1,4,4,32,Female,St. Paul,55104,Yes,Suspected Serious Injury,Yes,4,No,30,"vehicle was WB University.  Driver stated his tire blew out and he lost control of vehicle, veering to the right, over the curb, through a fence and into a parking lot.  Driver struck a pedestrian who was on sidewalk and another parked vehicle in the parking lot.",21,
504,Pedestrian,Yes,2018-08-15T19:05:00.000,18-184948,Central District,Rice St & University,County - State Aid Highway,No,None,,,,Unknown,Unknown,Unknown,,,,"{'latitude': '44.95589509', 'longitude': '-93.10600358'}",1,10,7,11,Female,"Chicago, IL",0,No,None,No,4,Yes,30,"Vehicle was WB University, Pedestrian SB Rice with right of way.  Vehicle failed to yield to ped and struck the ped lightly after slamming on brakes.  Driver fled.",,
505,Bike,Yes,2017-06-24T14:25:00.000,17-144376,Eastern District,Minnehaha Ave E & Hazelwood St,State - Trunk Highway,No,None,Male,St. Paul,55119,Unknown,Unknown,Unknown,Yes,Suspected Minor Injury,Yes,"{'latitude': '44.96317932', 'longitude': '-93.03568563'}",1,14,2,,,,,,,,2,No,30,"Police spoke to a witness who stated the juvenile was riding a bicycle northbound Hazelwood and crossed Minnehaha. The witness stated a vehicle struck the juvenile, stopped, and fled the scene. Police later located the vehicle parked and unoccupied. Police towed the vehicle.  Investigation continues.",,14
506,Bike,Yes,2016-09-29T18:05:00.000,16-199296,Western District,Cleveland Ave S & Highland Pkwy,County - State Aid Highway,Yes,Driver,Female,St. Paul,55104,Female,Minneapolis,55406,Yes,Suspected Minor Injury,Yes,"{'latitude': '44.91978294', 'longitude': '-93.18737662'}",1,6,6,,,,,,,,3,No,30,,41,24
507,Pedestrian,Yes,2017-11-28T19:00:00.000,17-275670,Western District,Snelling Ave N & Taylor St,State - Trunk Highway,Yes,Driver,,,,Male,St. Paul,55106,,,,"{'latitude': '44.9676262', 'longitude': '-93.16706158'}",1,4,4,7,Female,Minneapolis,55406,Yes,Suspected Minor Injury,Yes,4,No,30,"Pedestrian was crossing in a marked crosswalk from E to W at Taylor.  Vehicles in left lane stopped, pedestrian started crossing.  Vehicle in right lane failed to yield.",26,
508,Pedestrian,Yes,2017-04-30T12:06:00.000,17-095169,Eastern District,6th St E & Forest St,Municipal State Aid,No,None,,,,Female,St. Paul,55106,,,,"{'latitude': '44.96044319', 'longitude': '-93.06222636'}",1,15,2,7,Male,St. Paul,55106,Yes,Suspected Minor Injury,Yes,2,No,30,Vehicle was driving W/B on 6th St E when 7 y/o pedestrian darted across the street between two vehicles. Vehicle did not have time to stop and struck Pedestrian.,40,
509,Pedestrian,Yes,2016-12-09T18:08:00.000,16-252561,Eastern District,Pedersen St & Old Hudson Rd,Private Parking Lot,No,None,,,,Female,St. Paul,55119,,,,"{'latitude': '44.95244408', 'longitude': '-93.01257499'}",1,16,2,25,Male,St. Paul,55106,Yes,Possible Injury,Yes,Private,No,10,Driver of V#1 was pulling into parking lot at Sun Ray. Pedestrian wearing dark clothing was walking to the bus stop. Driver could not see pedestrian and struck pedestrian. No damage to vehicle and minor leg injury to pedestrian. Pedestrian transported to Regions. No citations issued due to Unknown injuries at the time of the crash.,16,
510,Bike,Yes,2016-07-12T18:30:00.000,16-140106,Western District,2061 Shepard Rd,Private Parking Lot,No,None,Male,St. Paul,55116,Female,St. Paul,55116,Yes,Suspected Minor Injury,Yes,"{'latitude': '44.905183', 'longitude': '-93.154714'}",1,6,6,,,,,,,,Private,No,10,,53,13
511,Pedestrian,Yes,2017-10-03T19:16:00.000,17-234142,Western District,Marshall Ave & Victoria St,Municipal State Aid,Yes,Driver,,,,Male,Maplewood,55119,,,,"{'latitude': '44.94853645', 'longitude': '-93.1364042'}",1,9,7,34,Female,St. Paul,55104,Yes,Possible Injury,No,2,Stop Sign,30,"Driver  EB Marshall, making left to NB Victoria.  Ped was crossing WB in S x-walk.  Driver cited for FTY pedestrian.",63,
512,Pedestrian,Yes,2016-12-06T16:04:00.000,16-250235,Eastern District,Arcade St & Ivy St,State - Trunk Highway,No,None,,,,Female,Mahtomedi,55115,,,,"{'latitude': '44.981131', 'longitude': '-93.065993'}",1,13,1,9,Male,St. Paul,55106,Yes,Suspected Minor Injury,No,4,Yes,30,Vehicle was WB Ivy at approximately 20.  9 y/o ran out into street.,47,
513,Bike,Yes,2016-10-01T12:20:00.000,16-200728,Western District,Arundel St N & University Ave W,City Street,No,None,Male,St. Paul,55103,Female,St. Paul,55103,Yes,Possible Injury,Yes,"{'latitude': '44.95587465', 'longitude': '-93.11874694'}",1,10,7,,,,,,,,2,No,30,,32,79
514,Pedestrian,Yes,2016-01-04T15:13:00.000,16-002201,Western District,2005 University Ave W (Menards),Private Parking Lot,No,,,,,Male,St. Paul,55108,,,,"{'latitude': '44.95879776', 'longitude': '-93.18358245'}",1,4,4,77,Female,St. Paul,55105,No,None,No,,,,,42,
515,Pedestrian,Yes,2016-11-04T17:53:00.000,16-227611,Eastern District,Clarence St & Maryland Ave E,County - State Aid Highway,Yes,Pedestrian,,,,Male,St. Paul,55106,,,,"{'latitude': '44.977542', 'longitude': '-93.04313'}",1,14,1,39,Male,Columbia Heights,55421,Yes,Possible Injury,Yes,5,Yes,30,Pedestrian darted across Maryland against the signal and was struck by vehicle.  Pedestrian cited for violation.,27,
516,Pedestrian,Yes,2017-08-08T16:27:00.000,17-185424,Central District,Robert St S & Fillmore Ave,Municipal State Aid,No,None,,,,Female,Minneapolis,55417,,,,"{'latitude': '44.94130746', 'longitude': '-93.0851107'}",1,7,5,60,Female,St. Paul,55119,No,None,No,3,Yes,30,"Driver making a right turn on red light, looking left.  Pedestrian walking SB on E side of Robert in crosswalk (entered on do not walk).  No injuries.",34,
517,Bike,Yes,2017-06-09T23:55:00.000,17-132465,Central District,Rice & Lyton,County - State Aid Highway,No,None,Female,Minneapolis,55421,Unknown,Unknown,Unknown,Yes,Possible Injury,Yes,"{'latitude': '44.96555566', 'longitude': '-93.10593414'}",1,3,7,,,,,,,,4,No,30,Biker was riding NB on Rice Street near Lyton when struck by an unknown vehicle.  Vehicle fled.,,24
518,Bike,Yes,2017-06-05T16:00:00.000,17-127912,Central District,Rice & Ivy,County - State Aid Highway,No,None,Male,St. Paul,55117,Female,Cottage Grove,55016,Yes,Suspected Minor Injury,No,"{'latitude': '44.98021972', 'longitude': '-93.1059947'}",1,3,3,,,,,,,,4,No,30,Biker riding on sidewalk.  Driver exiting parking lot.  Driver said she did not see the biker.,43,13
519,Bike,Yes,2016-10-13T09:04:00.000,16-210392,Western District,Dayton Ave & Lexington,City Street,No,None,Male,St. Paul,55104,Female,St. Paul,55104,No,None,No,"{'latitude': '44.94741991', 'longitude': '-93.14697152'}",1,17,7,,,,,,,,2,No,30,Biker riding on W sidewalk NB Lexington crossing Dayton when vehicle SB Lexington made right turn to WB Dayton striking biker.,17,15
520,Pedestrian,No,2016-05-18T12:05:00.000,16-096852,Central District,477 St. Peter Street,City Street,No,None,,,,Unknown,Unknown,Unknown,,,,"{'latitude': '44.9479', 'longitude': '-93.098518'}",1,12,5,,Unknown,Unknown,Unknown,No,None,No,,,,,,
521,Pedestrian,Yes,2018-02-09T13:25:00.000,18-028520,Eastern District,Maryland Ave E & Bradley St,City,No,None,,,,Male,Maplewood,55109,,,,"{'latitude': '44.977397', 'longitude': '-93.078607'}",1,13,3,30,Male,Pine City,55063,No,None,No,2,No,30,"Pedestran was running away from police on foot.  Pedestrian ran across the street in front of an unlrelated vehicle.  Pedestrian was struck by the vehicle, but continued to run.",60,
522,Pedestrian,Yes,2016-08-08T11:19:00.000,16-158346,Western District,Snelling Ave N & Hewitt Ave,State - Trunk Highway,Yes,Driver,,,,Male,Vadnais Heights,55127,,,,"{'latitude': '44.966451', 'longitude': '-93.167127'}",1,4,4,70,Female,St. Paul,55104,Yes,Suspected Minor Injury,Yes,4,Yes,30,,48,
523,Pedestrian,No,2016-03-14T13:09:00.000,16-049315,Central District,7th Street W & 5th Street,,No,None,,,,Unknown,Unknown,Unknown,,,,"{'latitude': '44.945937', 'longitude': '-93.101551'}",1,12,5,,Unknown,Unknown,Unknown,No,None,No,,,,,,
524,Pedestrian,Yes,2018-02-13T16:01:00.000,18-031334,Western District,University Ave W (1420) & Pascal St,Private,No,None,,,,Male,St. Paul,55104,,,,"{'latitude': '44.95549518', 'longitude': '-93.15915021'}",1,17,7,61,Female,St. Paul,55104,Yes,Suspected Minor Injury,No,Parking Lot,No,10,Driver struck 2 pedestrians while driving through the parking lot of the Dollar Tree at 1420 University.  Driver claimed that the sun temporarily blinded him.,33,
525,Bike,Yes,2017-07-07T17:40:00.000,17-156547,Western District,University Ave W & Syndicate St,County - State Aid,No,None,Female,St. Paul,55104,Female,St. Paul,55104,Yes,Possible Injury,Yes,"{'latitude': '44.95552267', 'longitude': '-93.15425283'}",1,17,7,,,,,,,,4,No,30,"Bike was riding WB on S sidewalk, then crossing Syndicate.  Vehicle was SB Syndicate and struck bike.",36,14
526,Bike,Yes,2018-06-11T18:54:00.000,18-126488,Eastern District,Forest St N & Rose Ave E,City,No,None,Male,St. Paul,55106,Female,St. Paul,55106,No,None,No,"{'latitude': '44.97658281', 'longitude': '-93.0609284'}",1,13,1,,,,,,,,2,Stop Sign,30,"Vehicle was WB Rose, stopped for stop sign then started to cross Forest.  Bike was SB on Forest (E sidewalk) and entered intersection as car started to drive.",38,12
527,Pedestrian,Yes,2018-04-02T23:25:00.000,18-067110,Western District,Concordia Ave & Lexington Pkwy N,Municiapl State Aid,Yes,Driver,,,,Female,St. Paul,55103,,,,"{'latitude': '44.95118843', 'longitude': '-93.14707673'}",1,17,7,18,Male,St. Paul,55104,Yes,Suspected Minor Injury,Yes,4,Yes,30,"Snow and icy conditions.  Driver on Concordia approaching Lexington, observed people on the right shoulder, tried to slow down but lost control of car.  Driver pinned pedestrian between 2 vehicles.  Driver cited for failure to drive with due care.",46,
528,Bike,No,2017-05-31T10:25:00.000,17-122645,Eastern District,Payne Ave & Jessamine Ave E,Municipal State Aid,No,None,Male,Unknown,Unknown,Male,St. Paul,55117,No,None,No,"{'latitude': '44.97473', 'longitude': '-93.073531'}",1,13,1,,,,,,,,2,Stop Sign,30,"No report, biker left when police were called.  Driver of garbage truck called police.  No injuries.",53,
529,Pedestrian,Yes,2017-11-03T16:04:00.000,17-257825,Western District,University Ave W & Lexington,County - State Aid Highway,Yes,Driver,,,,Male,St. Paul,55102,,,,"{'latitude': '44.95556586', 'longitude': '-93.14648689'}",1,9,7,70,Male,St. Paul,55101,No,None,No,6,Yes,30,"Driver was EB University and struck pedestrian.  Driver stated that his windshield was covered in snow on the passenger side. The passenger side windshield wiper blade was missing, preventing snow from being cleared. DV1 stated that he did not see the pedestrian, and he struck the pedestrian in the crosswalk at about 5 mph.",27,
530,Pedestrian,Yes,2016-08-05T08:29:00.000,16-156157,Eastern District,7th St E & Hope Street,State - Trunk Highway,No,None,,,,Unknown,Unknown,Unknown,,,,"{'latitude': '44.960775', 'longitude': '-93.06823'}",1,15,2,39,Female,St. Paul,55101,Yes,Possible Injury,Yes,4,Yes,30,,,
531,Pedestrian,Yes,2017-09-07T15:58:00.000,17-211878,Central District,George St W & Hall St,Municipal State Aid,No,None,,,,Female,St. Paul,55106,,,,"{'latitude': '44.92964978', 'longitude': '-93.08668611'}",1,7,5,13,Male,St. Paul,55107,No,None,No,2,Stop Sign,30,"Vehicle EB George passing by Hall. Juvenile ran across road failing to look for traffic after getting off an MTC bus. Juvenile
struck but not injured.",32,
532,Pedestrian,Yes,2018-04-12T16:20:00.000,18-074738,Central District,5 St E & Robert St N,State - Trunk Highway,Yes,Driver,,,,Male,St. Paul,55104,,,,"{'latitude': '44.94745752', 'longitude': '-93.09092212'}",1,12,5,55,Female,Oakdale,55128,Yes,Possible Injury,Yes,3,Yes,30,"Driver was EB 5th, making left onto NB Robert.  Ped was crossing Robert in north crosswalk with the signal and walk sign.  Driver struck pedestrian.  Driver cited for failure to yield to pedestrian in crosswalk.",31,
533,Pedestrian,Yes,2018-02-21T15:22:00.000,18-037188,Central District,Page St E (279) & Harvard,City,No,None,,,,Male,St. Paul,55107,,,,"{'latitude': '44.92489936', 'longitude': '-93.07594719'}",1,7,5,6,Male,St. Paul,55107,Yes,Suspected Minor Injury,Yes,2,No,30,Vehicle backing out of driveway struck 6 y/o child that was walking on sidewalk.,55,
534,Bike,Yes,2017-09-23T10:07:00.000,17-225421,Western District,Dale St N & Summit Ave,County - State Aid Highway,Yes,Driver,Male,St. Paul,55102,Male,St. Paul,55106,Yes,Suspected Minor Injury,Yes,"{'latitude': '44.94136061', 'longitude': '-93.12625019'}",1,9,7,,,,,,,,2,Yes,30,"Vehicle WB Summit, making left to SB Dale on green light.  Biker EB Summit on green.  Driver turned into biker and then fled scene.  Police located driver at home.  Driver was impaired by alcohol and was arrested.",26,33
535,Pedestrian,Yes,2017-04-06T08:05:00.000,17-074376,Western District,Montreal Ave & St. Paul Ave,County - State Aid Highway,No,None,,,,Male,Unknown,Unknown,,,,"{'latitude': '44.91252895', 'longitude': '-93.18473324'}",1,6,6,33,Female,St. Paul,55105,Yes,Possible Injury,No,4,No,30,"Pedestrian was crossing in the marked crosswalk.  Driver ran the stop sign and struck the pedestrian.  Driver fled without stopping.  Police are investigating the hit and run.  Suspect vehicle is a white Ford Taurus,  with plate similar to 189UAY.  Driver was a middle aged white male.",35,
536,Bike,No,2016-10-26T17:18:00.000,16-220683,Western District,Lexington Pkwy & Charles Ave,County - State Aid Highway,No,None,Male,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Suspected Minor Injury,No,"{'latitude': '44.957545', 'longitude': '-93.146542'}",1,10,7,,,,,,,,4,No,30,"Unknown, no report",,37
537,Pedestrian,Yes,2018-02-01T15:31:00.000,18-022427,Central District,Jackson St & Kellogg Bd,Municiapl State Aid,No,None,,,,Female,Fridley,55432,,,,"{'latitude': '44.94652609', 'longitude': '-93.08807641'}",1,12,5,55,Male,St. Paul,55117,Yes,Suspected Minor Injury,Yes,4,Yes,30,Pedestrian was crossing the street in the crosswalk when a vehicle struck the pedestrian while making a right turn.  There were conflicting stories of what happened and who had the right of way.,57,
538,Bike,Yes,2016-09-17T19:52:00.000,16-190244,Central District,Isabel St E & Wabasha St S,Municipal Aid Street,Yes,Biker,Male,St. Paul,55101,Male,Minneapolis,55404,Yes,Suspected Minor Injury,Yes,"{'latitude': '44.933075', 'longitude': '-93.084397'}",1,7,5,,,,,,,,2,No,30,,33,25
539,Bike,Yes,2017-07-18T14:06:00.000,17-166606,Central District,Lafayette Rd & University Ave,County - State Aid Highway,Yes,Driver,Male,St. Paul,55106,Male,St. Paul,55116,No,None,No,"{'latitude': '44.95789225', 'longitude': '-93.08569207'}",1,13,5,,,,,,,,4,Yes,30,Driver EB University to SB Lafayette.  Biker SB Lafayette in right traffic lane.  Driver said he did not see the biker.,31,21
540,Bike,Yes,2016-06-25T08:49:00.000,16-126999,Central District,Maryland Ave W & Rice Street,County - State Aid Highway,Yes,Driver,Male,St. Paul,55117,Male,Maplewood,55117,Yes,Suspected Minor Injury,No,"{'latitude': '44.977385', 'longitude': '-93.105921'}",1,3,3,,,,,,,,,,,,45,14
541,Pedestrian,Yes,2018-07-13T11:06:00.000,18-154983,Western District,University Ave W & Raymond,County - State Aid Highway,No,None,,,,Male,Minneapolis,55406,,,,"{'latitude': '44.96368324', 'longitude': '-93.19759643'}",1,1,4,59,Male,Minneapolis,55414,Yes,Suspected Serious Injury,Yes,4,Yes,30,ped came out from between parked cars and was struck by a moped.,33,
542,Pedestrian,Yes,2017-12-19T14:10:00.000,17-290625,Western District,University Ave W & Berry St,County - State Aid Highway,No,None,,,,Male,Falcon Heights,55113,,,,"{'latitude': '44.96737', 'longitude': '-93.206459'}",1,1,4,47,Female,St. Paul,55101,Yes,Suspected Serious Injury,Yes,4,Yes,30,"Vehicle was WB University with a green light.  Pedestrian darted into traffic from the north side of Uni, against a don't walk sign.  Vehicle struck ped.",67,
543,Pedestrian,Yes,2017-08-16T21:45:00.000,17-192696,Central District,Osceola Ave & Randolph,State - Trunk Highway,No,None,,,,Male,St. Paul,55102,,,,"{'latitude': '44.92685387', 'longitude': '-93.12817552'}",1,11,5,22,Male,St. Paul,55102,Yes,Suspected Minor Injury,Yes,3,Yes,30,"Driver EB 7th, turning WB Randolph.  Raining.  Did not see pedestrian.",41,
544,Pedestrian,Yes,2017-02-04T12:44:00.000,17-025118,Western District,Highland Pkwy & Snelling Ave S,County - State Aid Highway,Yes,Driver,,,,Male,St. Paul,55101,,,,"{'latitude': '44.94160712', 'longitude': '-93.10384439'}",1,11,5,15,Female,St. Paul,55116,Yes,Possible Injury,No,4,Yes,30,"Vehicle was WB Highland Pkwy, making left turn onto SB Snelling.  Pedestrian was crossing legally in the crosswalk when struck by the vehicle.  Driver stated he did not see the pedestrian.  Driver cited for failure to yield to pedestrian in the crosswalk.  Pedestrian was evaluated by medics, but not transported.",43,
545,Bike,No,2016-07-01T01:03:00.000,16-131602,Eastern District,Case Ave & Johnson Pkwy,County - State Aid Highway,No,None,Male,St. Paul,55106,Unknown,Unknown,Unknown,Yes,Suspected Minor Injury,No,"{'latitude': '44.968956', 'longitude': '-93.044999'}",1,15,1,,,,,,,,,,,,,54
546,Pedestrian,Yes,2017-03-12T00:30:00.000,17-012470,Metro Transit PD,11th Street E & Jackson Street,Municipal State Aid,No,None,,,,Male,Minneapolis,55404,,,,"{'latitude': '44.95294749', 'longitude': '-93.09379983'}",1,12,5,31,Female,Watford City (ND),58854,Yes,Possible Injury,Yes,4,Yes,30,"MTC Bus was SB on Jackson, making a left turn onto 11th Street (i35e entrance).  Pedestrian was crossing with signal and was struck by bus. Minor injuries, walked to hospital on her own.",30,
547,Pedestrian,Yes,2018-07-23T12:26:00.000,18-163593,Eastern District,Arcade St & Wheelock,State - Trunk Highway,Yes,Driver,,,,Female,St. Paul,55103,,,,"{'latitude': '44.98492644', 'longitude': '-93.06609225'}",1,13,1,30,Female,St. Paul,55117,Yes,Suspected Minor Injury,Yes,4,Yes,30,Driver was impaired by alcohol and had been stopped at traffic light for 3 cycles.  Pedestrian was checking on driver when the driver accelerated into reverse and pinned the pedestrian between 2 cars before fleeing.  Driver was evetnaully capture and arrested/booked for felony CVO.,51,
548,Pedestrian,Yes,2017-09-25T19:50:00.000,17-227402,Western District,Snelling Ave N & St. Anthony Ave,State - Trunk Highway,No,None,,,,Unknown,Unknown,Unknown,,,,"{'latitude': '44.95206603', 'longitude': '-93.16727135'}",1,17,4,38,Female,Minneapolis,55403,Yes,Possible Injury,Yes,8,Yes,30,Pedestrian crossing WB in S x-walk.  Vehicle was SB Snelling making right turn to WB St. Anthony and struck pedestrian.  Driver fled scene.,,
549,Pedestrian,Yes,2017-06-30T16:17:00.000,17-149624,Eastern District,7th St E & Minnehaha Ave e,State - Trunk Highway,Yes,Driver,,,,Female,St. Paul,55106,,,,"{'latitude': '44.9626683', 'longitude': '-93.06436635'}",1,15,2,61,Female,St. Paul,55106,Yes,Possible Injury,Yes,4,No,30,Driver was backing into a parking spot on E 7th Street when he struck a pedestrian.  Driver cited.,30,
550,Pedestrian,Yes,2016-08-27T16:17:00.000,16-173075,Eastern District,Edgerton St & Sims,County - State Aid Highway,No,None,,,,Female,St. Paul,55130,,,,"{'latitude': '44.969329', 'longitude': '-93.076084'}",1,13,3,9,Male,St. Paul,55106,Yes,Suspected Minor Injury,Yes,2,No,30,,62,
551,Pedestrian,No,2016-07-20T14:37:00.000,16-144854,Central District,Rice St & Arlington Ave W,City Street,No,None,,,,Unknown,Unknown,Unknown,,,,"{'latitude': '44.984586', 'longitude': '-93.105864'}",1,3,3,,Unknown,Unknown,Unknown,Unknown,Unknown,No,2,Yes,30,,,
552,Bike,Yes,2018-08-13T17:40:00.000,18-182857,Central District,Bellows St & Page,City,No,None,Male,St. Paul,55107,Female,Roseville,55113,Yes,Suspected Minor Injury,Yes,"{'latitude': '44.92461949', 'longitude': '-93.09267638'}",1,7,5,,,,,,,,2,Stop Sign,30,Biker failed to obey stop sign and struck vehicle.,24,12
553,Pedestrian,Yes,2016-04-09T21:07:00.000,16-067764,Central District,Eagle St W & Exchange St,,No,None,,,,Male,Minneapolis,55075,,,,"{'latitude': '44.943208', 'longitude': '-93.101597'}",1,11,5,19,Male,Cottage Grove,55016,No,None,No,,,,,30,
554,Pedestrian,Yes,2017-08-31T09:27:00.000,17-205452,Western District,Lexington Pkwy N & Front Ave,County - State Aid Highway,No,None,,,,Unknown,Unknown,Unknown,,,,"{'latitude': '44.97054797', 'longitude': '-93.14652224'}",1,2,3,17,Female,St. Paul,55104,Yes,Possible Injury,No,5,Yes,30,Pedestrian WB in N crosswalk with walk sign.  Vehicle EB Front to NB Lexington making left turn and struck pedestrian.  Vehicle fled after crash.,,
555,Bike,Yes,2018-05-29T20:26:00.000,18-115089,Western District,Snelling Ave N & Como Ave,County - State Aid Highway,No,None,Male,Minneapolis,55414,Male,St. Paul,55117,Yes,Suspected Minor Injury,Yes,"{'latitude': '44.977037', 'longitude': '-93.167661'}",1,2,4,,,,,,,,4,Stop Sign,30,"Driver was WB Como, making left onto SB Snelling.  Bike was EB Como, going straight through intersection.  Stop sign for both.  Biker did not have a headlight and it was dark.  Biker road into side of vehicle.",19,23
556,Pedestrian,Yes,2017-09-27T21:21:00.000,17-229269,Central District,Robert St S & Fillmore Ave,State - Trunk Highway,Yes,Driver,,,,Male,"Greenville, SC",29609,,,,"{'latitude': '44.94129028', 'longitude': '-93.08514421'}",1,7,5,51,Female,South St. Paul,55075,Yes,Suspected Serious Injury,Yes,4,Yes,30,"Driver was EB Fillmore, making left to NB Robert.  Pedestrian was crossing in N x-walk with walk sign.  Driver said he did not see the pedestrian.  Driver was impaired by alcohol and was arrested for Criminal Vehicular Operation.",63,
557,Pedestrian,Yes,2017-10-24T06:36:00.000,17-249947,Central District,7th St E & Wall Street,Parking Lot,Yes,Driver,,,,Male,St. Louis Park,55426,,,,"{'latitude': '44.95152343', 'longitude': '-93.08736021'}",1,12,5,72,Male,Cottage Grove,55016,Yes,Possible Injury,No,Private,No,10,Driver struck pedestrian in parking lot of gas station.,26,
558,Bike,Yes,2018-05-03T16:40:00.000,18-091880,Central District,Victoria St S & Monroe Ct,Municiapl State Aid,No,None,Male,St. Paul,55102,Male,Rosemount,55068,Yes,Suspected Minor Injury,Yes,"{'latitude': '44.92960602', 'longitude': '-93.1363728'}",1,11,5,,,,,,,,2,Stop Sign,30,Driver was SB on Victoria.  Bike was EB Monroe and failed to stop for a stop sign.  Driver struck bike.,56,10
559,Pedestrian,Yes,2016-05-03T17:38:00.000,16-085351,Central District,Smith Ave N & Walnut St,City Street,Yes,Driver,,,,Female,St. Paul,55105,,,,"{'latitude': '44.943344', 'longitude': '-93.106426'}",1,11,5,46,Female,Inver Grove Heights,55076,Yes,Suspected Minor Injury,Yes,,,,,67,
560,Pedestrian,Yes,2018-01-27T09:44:00.000,18-018582,Central District,5th St E & Wall St,Municiapl State Aid,No,None,,,,Female,St. Paul,55104,,,,"{'latitude': '44.94992915', 'longitude': '-93.08561314'}",1,12,5,38,Male,St. Paul,55101,Yes,Suspected Minor Injury,No,2,No,30,Vehicle was parking at the farmer's market and struck a pedestrian.,31,
561,Pedestrian,Yes,2016-12-04T16:11:00.000,16-248749,Central District,Cottage Ave W & Schletti St,City Street,Yes,Driver,,,,Male,Minneapolis,55409,,,,"{'latitude': '44.98265523', 'longitude': '-93.1218395'}",1,3,3,65,Male,Hopkins,55343,Yes,Possible Injury,Yes,2,No,30,Vehicle intentionally struck a pedestrian in alley behind address.  Suspect was arrested for aggravated assault.,50,
562,Pedestrian,Yes,2016-02-07T05:35:00.000,16-024535,Western District,Como Ave & Snelling,,No,,,,,Unknown,Unknown,Unknown,,,,"{'latitude': '44.97734584', 'longitude': '-93.16672559'}",1,2,4,32,Male,Minneapolis,55405,Yes,Suspected Minor Injury,No,,,,,,
563,Ped2,,2018-05-18T17:45:01.000,18-105349,,,,,,,,,,,,,,,"{'latitude': '44.92304176', 'longitude': '-93.14444931'}",1,11,5,6,Female,Ferndale (WA),98248,No,None,No,,,,2nd pedestrian from this crash,,
564,Bike,Yes,2016-11-19T14:17:00.000,16-238080,Eastern District,White Bear Ave N & Minnehaha Ave E,State - Trunk Highway,No,None,Female,Minneapolis,55417,Female,St. Paul,55106,Yes,Suspected Minor Injury,No,"{'latitude': '44.963083', 'longitude': '-93.025319'}",1,14,2,,,,,,,,2,Yes,30,"Bike was SB on E sidewalk of White Bear Ave.  Vehicle was WB on Minnehaha, making a right turn to NB White Bear, striking the biker who was travelling with a walk signal.",63,54
565,Bike,Yes,2016-07-24T21:17:00.000,16-147807,Central District,Stryker Ave & Morton St,City Street,No,None,Female,St. Paul,55107,Unknown,Unknown,Unknown,Yes,Suspected Minor Injury,Yes,"{'latitude': '44.92544', 'longitude': '-93.088049'}",1,7,5,,,,,,,,2,No,30,,,47
566,Pedestrian,Yes,2018-05-25T16:53:00.000,18-111623,Eastern District,Burr St & Maryland Ave E,County - State Aid Highway,Yes,Driver,,,,Male,Hudson (WI),54016,,,,"{'latitude': '44.9774', 'longitude': '-93.07986208'}",1,13,3,38,Male,St. Paul,55106,Yes,Possible Injury,Yes,4,No,30,"Driver SB on Burr, making a left turn to EB Maryland.  Pedestrian crossing Maryland in E crosswalk.  Driver was looking right and making left turn, did not see the pedestrian.",32,
567,Bike,Yes,2017-05-17T18:07:00.000,17-110582,Central District,Grand Ave & Smith Ave N,Municipal State Aid,Yes,Driver,Male,St. Paul,55102,Male,St. Paul,55102,Yes,Possible Injury,Yes,"{'latitude': '44.941304', 'longitude': '-93.109407'}",1,11,5,,,,,,,,4,No,30,"6 y/o Biker was riding on sidewalk.  Driver was exiting the gas station near Smith & Grand and struck the biker at approximately 2 mph.  Minor injury, biker transported to hospital by ambulance.  Driver cited.",37,6
568,Pedestrian,Yes,2016-06-07T16:08:00.000,16-112941,Eastern District,Cayuga & Arkwright St,Municipal Aid Street,No,None,,,,Male,St. Paul,55130,,,,"{'latitude': '44.964758', 'longitude': '-93.084566'}",1,13,3,55,Female,Eagan,55122,Yes,FATAL,Yes,,,,,41,
569,Pedestrian,Yes,2017-01-16T19:18:00.000,17-010986,Western District,Larpenteur Ave E & Dale St N,County - State Aid Highway,No,None,,,,Unknown,Unknown,Unknown,,,,"{'latitude': '44.991794', 'longitude': '-93.126099'}",1,,,39,Male,St. Paul,55116,Yes,Suspected Serious Injury,Yes,5,No,30,Pedestrian was walking on the shoulder in the southern most lane of EB Larpenteur just W of Dale Street (no sidewalk available).  Vehicle struck pedestrian.  Hit & Run.  Witness states that striking vehicle had been weaving.,,
